A33_001,A33_002,A33_003,A33_004,A33_005,A33_006,A33_007,A33_008,phenomenon_type_ja,zone_type_ja,prefecture_ja,special_warning_status,properties_json,wkt
1,1,44,Ⅰ-1-4218,篠田(B),竹田市,2007-03-30,0,急傾斜地の崩壊,土砂災害警戒区域,大分県,特別警戒区域指定済み,"{""A33_001"": 1, ""A33_002"": 1, ""A33_003"": ""44"", ""A33_004"": ""Ⅰ-1-4218"", ""A33_005"": ""篠田(B)"", ""A33_006"": ""竹田市"", ""A33_007"": ""2007-03-30"", ""A33_008"": 0, ""layer"": ""A33-24_44Polygon"", ""path"": ""C:\\Users\\kdany\\Python\\DRR\\国土数値情報\\A33-24_44Polygon.geojson"", ""phenomenon_type_ja"": ""急傾斜地の崩壊"", ""zone_type_ja"": ""土砂災害警戒区域"", ""prefecture_ja"": ""大分県"", ""special_warning_status"": ""特別警戒区域指定済み""}","POLYGON ((131.375246 32.946675, 131.375471 32.946762, 131.37553 32.946945, 131.37555 32.946984, 131.375593 32.947073, 131.375595 32.947074, 131.375624 32.947104, 131.375759 32.947105, 131.375766 32.947105, 131.375857 32.947106, 131.375952 32.947107, 131.376037 32.947032, 131.376203 32.946895, 131.376175 32.946522, 131.375804 32.946336, 131.375697 32.946428, 131.37571 32.946331, 131.375358 32.946189, 131.375313 32.946397, 131.375305 32.946436, 131.375304 32.94644, 131.375253 32.946648, 131.375252 32.946653, 131.375246 32.946675))"
1,1,44,Ⅰ-1-4218,篠田(A),竹田市,2007-03-30,0,急傾斜地の崩壊,土砂災害警戒区域,大分県,特別警戒区域指定済み,"{""A33_001"": 1, ""A33_002"": 1, ""A33_003"": ""44"", ""A33_004"": ""Ⅰ-1-4218"", ""A33_005"": ""篠田(A)"", ""A33_006"": ""竹田市"", ""A33_007"": ""2007-03-30"", ""A33_008"": 0, ""layer"": ""A33-24_44Polygon"", ""path"": ""C:\\Users\\kdany\\Python\\DRR\\国土数値情報\\A33-24_44Polygon.geojson"", ""phenomenon_type_ja"": ""急傾斜地の崩壊"", ""zone_type_ja"": ""土砂災害警戒区域"", ""prefecture_ja"": ""大分県"", ""special_warning_status"": ""特別警戒区域指定済み""}","POLYGON ((131.374527 32.94572, 131.374537 32.945732, 131.374555 32.945755, 131.374592 32.945801, 131.374654 32.94589, 131.374698 32.945952, 131.374754 32.946043, 131.374788 32.94603, 131.37484 32.94601, 131.374845 32.946007, 131.374954 32.945941, 131.375038 32.945888, 131.375098 32.945851, 131.375062 32.945756, 131.374851 32.945668, 131.374749 32.945576, 131.374665 32.94547, 131.37459 32.945414, 131.374573 32.945325, 131.374517 32.945106, 131.374372 32.945162, 131.374328 32.94518, 131.374321 32.945182, 131.374191 32.945234, 131.374176 32.94524, 131.374124 32.94526, 131.374094 32.945272, 131.374205 32.945457, 131.374285 32.945576, 131.374361 32.94569, 131.374362 32.94569, 131.374374 32.945693, 131.374527 32.94572))"
1,1,44,Ⅰ-1-4295,大津留(C),竹田市,2009-11-10,0,急傾斜地の崩壊,土砂災害警戒区域,大分県,特別警戒区域指定済み,"{""A33_001"": 1, ""A33_002"": 1, ""A33_003"": ""44"", ""A33_004"": ""Ⅰ-1-4295"", ""A33_005"": ""大津留(C)"", ""A33_006"": ""竹田市"", ""A33_007"": ""2009-11-10"", ""A33_008"": 0, ""layer"": ""A33-24_44Polygon"", ""path"": ""C:\\Users\\kdany\\Python\\DRR\\国土数値情報\\A33-24_44Polygon.geojson"", ""phenomenon_type_ja"": ""急傾斜地の崩壊"", ""zone_type_ja"": ""土砂災害警戒区域"", ""prefecture_ja"": ""大分県"", ""special_warning_status"": ""特別警戒区域指定済み""}","POLYGON ((131.379464 32.931598, 131.379597 32.931627, 131.379687 32.93159, 131.379683 32.93128, 131.379328 32.930846, 131.379129 32.930803, 131.379003 32.930792, 131.378762 32.93065, 131.378169 32.930732, 131.378294 32.930938, 131.378412 32.931133, 131.378412 32.931134, 131.378446 32.931187, 131.378492 32.931287, 131.378515 32.931397, 131.378519 32.93144, 131.378519 32.931441, 131.378522 32.931523, 131.378523 32.93153, 131.378522 32.931535, 131.378639 32.931585, 131.37864 32.931585, 131.378643 32.931586, 131.378647 32.931594, 131.378681 32.931586, 131.37875 32.931571, 131.378899 32.931539, 131.378973 32.931525, 131.379055 32.931517, 131.379118 32.931524, 131.37917 32.931535, 131.379464 32.931598))"
1,1,44,Ⅰ-1-4221,中尾,竹田市,2007-03-30,0,急傾斜地の崩壊,土砂災害警戒区域,大分県,特別警戒区域指定済み,"{""A33_001"": 1, ""A33_002"": 1, ""A33_003"": ""44"", ""A33_004"": ""Ⅰ-1-4221"", ""A33_005"": ""中尾"", ""A33_006"": ""竹田市"", ""A33_007"": ""2007-03-30"", ""A33_008"": 0, ""layer"": ""A33-24_44Polygon"", ""path"": ""C:\\Users\\kdany\\Python\\DRR\\国土数値情報\\A33-24_44Polygon.geojson"", ""phenomenon_type_ja"": ""急傾斜地の崩壊"", ""zone_type_ja"": ""土砂災害警戒区域"", ""prefecture_ja"": ""大分県"", ""special_warning_status"": ""特別警戒区域指定済み""}","POLYGON ((131.378375 32.940631, 131.378375 32.940631, 131.378376 32.940631, 131.378375 32.940631))"
1,1,44,Ⅰ-1-4221,中尾,竹田市,2007-03-30,0,急傾斜地の崩壊,土砂災害警戒区域,大分県,特別警戒区域指定済み,"{""A33_001"": 1, ""A33_002"": 1, ""A33_003"": ""44"", ""A33_004"": ""Ⅰ-1-4221"", ""A33_005"": ""中尾"", ""A33_006"": ""竹田市"", ""A33_007"": ""2007-03-30"", ""A33_008"": 0, ""layer"": ""A33-24_44Polygon"", ""path"": ""C:\\Users\\kdany\\Python\\DRR\\国土数値情報\\A33-24_44Polygon.geojson"", ""phenomenon_type_ja"": ""急傾斜地の崩壊"", ""zone_type_ja"": ""土砂災害警戒区域"", ""prefecture_ja"": ""大分県"", ""special_warning_status"": ""特別警戒区域指定済み""}","POLYGON ((131.378375 32.940631, 131.378186 32.940643, 131.378088 32.940686, 131.377994 32.940768, 131.377897 32.94086, 131.377837 32.940882, 131.377815 32.940913, 131.37781 32.940922, 131.377788 32.940944, 131.377748 32.940985, 131.377746 32.940986, 131.377691 32.941038, 131.377648 32.941139, 131.377647 32.941141, 131.377586 32.941333, 131.37755 32.941444, 131.377719 32.941506, 131.377992 32.94148, 131.378162 32.941324, 131.37832 32.941351, 131.378431 32.941355, 131.378508 32.941342, 131.378663 32.941213, 131.378749 32.941125, 131.378863 32.941094, 131.37911 32.941065, 131.379252 32.940858, 131.379174 32.940812, 131.379119 32.940779, 131.379095 32.940765, 131.379037 32.940752, 131.379036 32.940752, 131.378987 32.940743, 131.378977 32.940741, 131.378976 32.94074, 131.378932 32.940733, 131.37891 32.94073, 131.378872 32.940721, 131.378855 32.940717, 131.378731 32.940678, 131.378688 32.940676, 131.378595 32.940673, 131.378484 32.94067, 131.378376 32.940632, 131.378375 32.940631))"
1,1,44,Ⅰ-1-1802,篠田(C),竹田市,2008-03-28,0,急傾斜地の崩壊,土砂災害警戒区域,大分県,特別警戒区域指定済み,"{""A33_001"": 1, ""A33_002"": 1, ""A33_003"": ""44"", ""A33_004"": ""Ⅰ-1-1802"", ""A33_005"": ""篠田(C)"", ""A33_006"": ""竹田市"", ""A33_007"": ""2008-03-28"", ""A33_008"": 0, ""layer"": ""A33-24_44Polygon"", ""path"": ""C:\\Users\\kdany\\Python\\DRR\\国土数値情報\\A33-24_44Polygon.geojson"", ""phenomenon_type_ja"": ""急傾斜地の崩壊"", ""zone_type_ja"": ""土砂災害警戒区域"", ""prefecture_ja"": ""大分県"", ""special_warning_status"": ""特別警戒区域指定済み""}","POLYGON ((131.372836 32.943632, 131.373022 32.943852, 131.373199 32.944032, 131.37328 32.944096, 131.373339 32.944148, 131.373461 32.944281, 131.373606 32.944463, 131.373679 32.944604, 131.373702 32.94465, 131.373726 32.944641, 131.373799 32.944613, 131.374006 32.944534, 131.37431 32.944417, 131.374236 32.944336, 131.374127 32.944234, 131.374035 32.944046, 131.373913 32.943775, 131.373876 32.943663, 131.373506 32.943677, 131.373336 32.943603, 131.373247 32.943479, 131.373345 32.943307, 131.373288 32.94325, 131.373227 32.943146, 131.37318 32.943095, 131.373178 32.943093, 131.373027 32.94299, 131.372922 32.943102, 131.3729 32.943126, 131.372883 32.943165, 131.372846 32.94325, 131.372916 32.943308, 131.372918 32.94331, 131.372934 32.943329, 131.37296 32.943386, 131.372973 32.943428, 131.372836 32.943632))"
1,1,44,Ⅱ-1-5110,音羽①(A),竹田市,2019-03-12,0,急傾斜地の崩壊,土砂災害警戒区域,大分県,特別警戒区域指定済み,"{""A33_001"": 1, ""A33_002"": 1, ""A33_003"": ""44"", ""A33_004"": ""Ⅱ-1-5110"", ""A33_005"": ""音羽①(A)"", ""A33_006"": ""竹田市"", ""A33_007"": ""2019-03-12"", ""A33_008"": 0, ""layer"": ""A33-24_44Polygon"", ""path"": ""C:\\Users\\kdany\\Python\\DRR\\国土数値情報\\A33-24_44Polygon.geojson"", ""phenomenon_type_ja"": ""急傾斜地の崩壊"", ""zone_type_ja"": ""土砂災害警戒区域"", ""prefecture_ja"": ""大分県"", ""special_warning_status"": ""特別警戒区域指定済み""}","POLYGON ((131.358293 32.945821, 131.35844 32.945745, 131.358431 32.9457, 131.358435 32.945628, 131.358476 32.945489, 131.358526 32.945407, 131.358622 32.945335, 131.358536 32.945172, 131.358485 32.945147, 131.358176 32.94501, 131.358113 32.945215, 131.358009 32.945176, 131.35782 32.945097, 131.357783 32.945243, 131.357736 32.945429, 131.357724 32.945473, 131.357719 32.945498, 131.357716 32.945537, 131.357718 32.945551, 131.357723 32.945584, 131.357741 32.945639, 131.357789 32.945687, 131.357843 32.945716, 131.357799 32.945766, 131.3578 32.945766, 131.357805 32.945772, 131.357813 32.945791, 131.357938 32.945813, 131.357946 32.945874, 131.358053 32.945875, 131.358078 32.945875, 131.358127 32.945873, 131.358174 32.94587, 131.358208 32.945866, 131.358236 32.945851, 131.358293 32.945821))"
1,1,44,Ⅱ-1-5110,音羽①(B),竹田市,2019-03-12,0,急傾斜地の崩壊,土砂災害警戒区域,大分県,特別警戒区域指定済み,"{""A33_001"": 1, ""A33_002"": 1, ""A33_003"": ""44"", ""A33_004"": ""Ⅱ-1-5110"", ""A33_005"": ""音羽①(B)"", ""A33_006"": ""竹田市"", ""A33_007"": ""2019-03-12"", ""A33_008"": 0, ""layer"": ""A33-24_44Polygon"", ""path"": ""C:\\Users\\kdany\\Python\\DRR\\国土数値情報\\A33-24_44Polygon.geojson"", ""phenomenon_type_ja"": ""急傾斜地の崩壊"", ""zone_type_ja"": ""土砂災害警戒区域"", ""prefecture_ja"": ""大分県"", ""special_warning_status"": ""特別警戒区域指定済み""}","POLYGON ((131.357955 32.945356, 131.357993 32.94553, 131.358023 32.94552, 131.358085 32.945504, 131.358108 32.945565, 131.35818 32.945777, 131.358206 32.945839, 131.358291 32.945822, 131.358375 32.945806, 131.358512 32.94578, 131.358569 32.945763, 131.358642 32.945734, 131.358727 32.945701, 131.358739 32.945696, 131.358723 32.94566, 131.358719 32.945622, 131.358716 32.945592, 131.358722 32.945587, 131.358738 32.945585, 131.358741 32.945584, 131.358826 32.945597, 131.358906 32.945597, 131.358916 32.945596, 131.35897 32.945561, 131.358981 32.94556, 131.358979 32.945538, 131.358973 32.94547, 131.358972 32.945451, 131.358973 32.945414, 131.358976 32.945363, 131.358993 32.9453, 131.359007 32.945246, 131.359086 32.944939, 131.359015 32.944935, 131.358964 32.944885, 131.358945 32.944892, 131.358867 32.944884, 131.358579 32.94494, 131.358483 32.945028, 131.358121 32.945133, 131.357955 32.945356))"
1,1,44,Ⅱ-1-5111,下矢倉④,竹田市,2019-03-12,0,急傾斜地の崩壊,土砂災害警戒区域,大分県,特別警戒区域指定済み,"{""A33_001"": 1, ""A33_002"": 1, ""A33_003"": ""44"", ""A33_004"": ""Ⅱ-1-5111"", ""A33_005"": ""下矢倉④"", ""A33_006"": ""竹田市"", ""A33_007"": ""2019-03-12"", ""A33_008"": 0, ""layer"": ""A33-24_44Polygon"", ""path"": ""C:\\Users\\kdany\\Python\\DRR\\国土数値情報\\A33-24_44Polygon.geojson"", ""phenomenon_type_ja"": ""急傾斜地の崩壊"", ""zone_type_ja"": ""土砂災害警戒区域"", ""prefecture_ja"": ""大分県"", ""special_warning_status"": ""特別警戒区域指定済み""}","POLYGON ((131.365838 32.945542, 131.365996 32.945426, 131.366008 32.945358, 131.366025 32.945288, 131.366032 32.945268, 131.366039 32.945255, 131.366044 32.945237, 131.365995 32.945153, 131.365653 32.945067, 131.365553 32.944988, 131.365413 32.945012, 131.365241 32.945037, 131.365155 32.945115, 131.364929 32.945197, 131.364811 32.945303, 131.36489 32.945391, 131.364936 32.945442, 131.364986 32.945498, 131.365026 32.945563, 131.365026 32.945564, 131.365072 32.945645, 131.365181 32.945587, 131.365256 32.945614, 131.365378 32.945722, 131.365437 32.945741, 131.365438 32.945741, 131.365496 32.945738, 131.365522 32.945741, 131.365562 32.945752, 131.365583 32.945764, 131.365647 32.945692, 131.365665 32.945672, 131.365689 32.945651, 131.365718 32.94563, 131.365838 32.945542))"
1,1,44,Ⅱ-1-5112,下矢倉⑤(A),竹田市,2019-03-12,0,急傾斜地の崩壊,土砂災害警戒区域,大分県,特別警戒区域指定済み,"{""A33_001"": 1, ""A33_002"": 1, ""A33_003"": ""44"", ""A33_004"": ""Ⅱ-1-5112"", ""A33_005"": ""下矢倉⑤(A)"", ""A33_006"": ""竹田市"", ""A33_007"": ""2019-03-12"", ""A33_008"": 0, ""layer"": ""A33-24_44Polygon"", ""path"": ""C:\\Users\\kdany\\Python\\DRR\\国土数値情報\\A33-24_44Polygon.geojson"", ""phenomenon_type_ja"": ""急傾斜地の崩壊"", ""zone_type_ja"": ""土砂災害警戒区域"", ""prefecture_ja"": ""大分県"", ""special_warning_status"": ""特別警戒区域指定済み""}","POLYGON ((131.366936 32.945937, 131.366826 32.945797, 131.36651 32.946047, 131.366435 32.946105, 131.366391 32.946141, 131.366338 32.946165, 131.366296 32.946179, 131.366253 32.946193, 131.366231 32.946196, 131.366161 32.946207, 131.366126 32.946213, 131.366127 32.946234, 131.366126 32.946236, 131.366126 32.946238, 131.366171 32.946249, 131.366228 32.946264, 131.366304 32.946283, 131.366353 32.946297, 131.366405 32.946314, 131.366811 32.946444, 131.366815 32.946445, 131.367076 32.946223, 131.366936 32.945937))"
1,1,44,Ⅱ-1-5112,下矢倉⑤(B),竹田市,2019-03-12,0,急傾斜地の崩壊,土砂災害警戒区域,大分県,特別警戒区域指定済み,"{""A33_001"": 1, ""A33_002"": 1, ""A33_003"": ""44"", ""A33_004"": ""Ⅱ-1-5112"", ""A33_005"": ""下矢倉⑤(B)"", ""A33_006"": ""竹田市"", ""A33_007"": ""2019-03-12"", ""A33_008"": 0, ""layer"": ""A33-24_44Polygon"", ""path"": ""C:\\Users\\kdany\\Python\\DRR\\国土数値情報\\A33-24_44Polygon.geojson"", ""phenomenon_type_ja"": ""急傾斜地の崩壊"", ""zone_type_ja"": ""土砂災害警戒区域"", ""prefecture_ja"": ""大分県"", ""special_warning_status"": ""特別警戒区域指定済み""}","POLYGON ((131.366585 32.946754, 131.366622 32.946744, 131.36675 32.94671, 131.366857 32.946705, 131.366857 32.946705, 131.366887 32.946688, 131.366905 32.94667, 131.366961 32.946611, 131.367013 32.946562, 131.367057 32.94652, 131.367307 32.946284, 131.367173 32.946119, 131.367147 32.946072, 131.367103 32.946057, 131.366918 32.945958, 131.366856 32.94597, 131.36665 32.94593, 131.366561 32.945974, 131.366449 32.946054, 131.366453 32.946131, 131.366472 32.946435, 131.366478 32.94653, 131.366484 32.94657, 131.366488 32.94661, 131.366494 32.946658, 131.366494 32.946658, 131.366498 32.946724, 131.366497 32.946748, 131.366545 32.946748, 131.36655 32.946747, 131.366562 32.946748, 131.36657 32.94675, 131.366576 32.946751, 131.366585 32.946754))"
1,1,44,Ⅱ-1-5113,下矢倉⑥,竹田市,2019-03-12,0,急傾斜地の崩壊,土砂災害警戒区域,大分県,特別警戒区域指定済み,"{""A33_001"": 1, ""A33_002"": 1, ""A33_003"": ""44"", ""A33_004"": ""Ⅱ-1-5113"", ""A33_005"": ""下矢倉⑥"", ""A33_006"": ""竹田市"", ""A33_007"": ""2019-03-12"", ""A33_008"": 0, ""layer"": ""A33-24_44Polygon"", ""path"": ""C:\\Users\\kdany\\Python\\DRR\\国土数値情報\\A33-24_44Polygon.geojson"", ""phenomenon_type_ja"": ""急傾斜地の崩壊"", ""zone_type_ja"": ""土砂災害警戒区域"", ""prefecture_ja"": ""大分県"", ""special_warning_status"": ""特別警戒区域指定済み""}","POLYGON ((131.367011 32.947248, 131.367014 32.94725, 131.367044 32.947269, 131.367092 32.947306, 131.367117 32.947326, 131.367143 32.947351, 131.367156 32.947363, 131.367162 32.947369, 131.367176 32.947382, 131.367205 32.947407, 131.367215 32.94741, 131.367321 32.947493, 131.367342 32.947507, 131.367362 32.947513, 131.367402 32.947518, 131.367419 32.947512, 131.367421 32.947511, 131.367446 32.947496, 131.367593 32.947409, 131.367738 32.947336, 131.36792 32.947245, 131.367907 32.947182, 131.367892 32.946953, 131.367674 32.947, 131.367374 32.947065, 131.367326 32.947075, 131.367199 32.947095, 131.367143 32.947107, 131.367086 32.947131, 131.36706 32.947149, 131.36702 32.947177, 131.366989 32.947194, 131.366972 32.947199, 131.367004 32.947242, 131.367011 32.947248))"
1,1,44,Ⅱ-1-5440,宇土①,竹田市,2019-03-12,0,急傾斜地の崩壊,土砂災害警戒区域,大分県,特別警戒区域指定済み,"{""A33_001"": 1, ""A33_002"": 1, ""A33_003"": ""44"", ""A33_004"": ""Ⅱ-1-5440"", ""A33_005"": ""宇土①"", ""A33_006"": ""竹田市"", ""A33_007"": ""2019-03-12"", ""A33_008"": 0, ""layer"": ""A33-24_44Polygon"", ""path"": ""C:\\Users\\kdany\\Python\\DRR\\国土数値情報\\A33-24_44Polygon.geojson"", ""phenomenon_type_ja"": ""急傾斜地の崩壊"", ""zone_type_ja"": ""土砂災害警戒区域"", ""prefecture_ja"": ""大分県"", ""special_warning_status"": ""特別警戒区域指定済み""}","POLYGON ((131.35 32.945968, 131.350115 32.945886, 131.35 32.945831, 131.35 32.945968))"
1,1,44,Ⅱ-1-5453,音羽②,竹田市,2019-03-12,0,急傾斜地の崩壊,土砂災害警戒区域,大分県,特別警戒区域指定済み,"{""A33_001"": 1, ""A33_002"": 1, ""A33_003"": ""44"", ""A33_004"": ""Ⅱ-1-5453"", ""A33_005"": ""音羽②"", ""A33_006"": ""竹田市"", ""A33_007"": ""2019-03-12"", ""A33_008"": 0, ""layer"": ""A33-24_44Polygon"", ""path"": ""C:\\Users\\kdany\\Python\\DRR\\国土数値情報\\A33-24_44Polygon.geojson"", ""phenomenon_type_ja"": ""急傾斜地の崩壊"", ""zone_type_ja"": ""土砂災害警戒区域"", ""prefecture_ja"": ""大分県"", ""special_warning_status"": ""特別警戒区域指定済み""}","POLYGON ((131.353447 32.940492, 131.353576 32.940438, 131.353366 32.94048, 131.353314 32.940446, 131.353302 32.94029, 131.353212 32.940086, 131.353002 32.940211, 131.352867 32.94029, 131.35278 32.940342, 131.352719 32.940382, 131.352635 32.940438, 131.352628 32.94052, 131.352691 32.940601, 131.352662 32.940617, 131.352665 32.940623, 131.352784 32.940721, 131.35299 32.940741, 131.353049 32.940748, 131.353052 32.940748, 131.353067 32.940746, 131.353112 32.940741, 131.353148 32.940721, 131.353211 32.940686, 131.353234 32.940673, 131.3533 32.940636, 131.353278 32.940609, 131.353447 32.940492))"
1,1,44,Ⅱ-1-5454,音羽③(A),竹田市,2019-03-12,0,急傾斜地の崩壊,土砂災害警戒区域,大分県,特別警戒区域指定済み,"{""A33_001"": 1, ""A33_002"": 1, ""A33_003"": ""44"", ""A33_004"": ""Ⅱ-1-5454"", ""A33_005"": ""音羽③(A)"", ""A33_006"": ""竹田市"", ""A33_007"": ""2019-03-12"", ""A33_008"": 0, ""layer"": ""A33-24_44Polygon"", ""path"": ""C:\\Users\\kdany\\Python\\DRR\\国土数値情報\\A33-24_44Polygon.geojson"", ""phenomenon_type_ja"": ""急傾斜地の崩壊"", ""zone_type_ja"": ""土砂災害警戒区域"", ""prefecture_ja"": ""大分県"", ""special_warning_status"": ""特別警戒区域指定済み""}","POLYGON ((131.356399 32.941443, 131.356108 32.941709, 131.356036 32.941775, 131.35599 32.941817, 131.355967 32.941837, 131.355933 32.941851, 131.355878 32.941875, 131.355824 32.941909, 131.355739 32.941971, 131.355716 32.941983, 131.355692 32.941996, 131.355615 32.942007, 131.355615 32.942008, 131.355628 32.942023, 131.355623 32.942025, 131.355623 32.942025, 131.355627 32.942024, 131.355722 32.942039, 131.355752 32.942057, 131.355782 32.942075, 131.355813 32.942094, 131.355843 32.942112, 131.355874 32.942131, 131.355941 32.942167, 131.35595 32.942172, 131.355953 32.942173, 131.355991 32.942193, 131.356027 32.942202, 131.356033 32.942201, 131.356173 32.94225, 131.356191 32.942242, 131.356229 32.942189, 131.356237 32.94218, 131.356246 32.942168, 131.356279 32.942125, 131.356304 32.942092, 131.35643 32.941994, 131.356578 32.941859, 131.356654 32.941829, 131.356644 32.941812, 131.356618 32.941795, 131.356594 32.941772, 131.356583 32.941758, 131.356563 32.941696, 131.356562 32.941686, 131.356399 32.941443))"
1,1,44,Ⅱ-1-5454,音羽③(B),竹田市,2019-03-12,0,急傾斜地の崩壊,土砂災害警戒区域,大分県,特別警戒区域指定済み,"{""A33_001"": 1, ""A33_002"": 1, ""A33_003"": ""44"", ""A33_004"": ""Ⅱ-1-5454"", ""A33_005"": ""音羽③(B)"", ""A33_006"": ""竹田市"", ""A33_007"": ""2019-03-12"", ""A33_008"": 0, ""layer"": ""A33-24_44Polygon"", ""path"": ""C:\\Users\\kdany\\Python\\DRR\\国土数値情報\\A33-24_44Polygon.geojson"", ""phenomenon_type_ja"": ""急傾斜地の崩壊"", ""zone_type_ja"": ""土砂災害警戒区域"", ""prefecture_ja"": ""大分県"", ""special_warning_status"": ""特別警戒区域指定済み""}","POLYGON ((131.357071 32.942297, 131.356869 32.942025, 131.356667 32.94204, 131.356414 32.942011, 131.356309 32.942103, 131.356315 32.942151, 131.356321 32.942193, 131.356322 32.942198, 131.356332 32.94228, 131.356333 32.942288, 131.356362 32.942358, 131.356445 32.942404, 131.356447 32.942548, 131.356467 32.942564, 131.356501 32.942546, 131.356516 32.942536, 131.35658 32.942514, 131.356597 32.942508, 131.356626 32.942497, 131.356682 32.942476, 131.356749 32.942468, 131.357006 32.942436, 131.357009 32.942435, 131.357071 32.942297))"
1,1,44,Ⅱ-1-5454,音羽③(C),竹田市,2019-03-12,0,急傾斜地の崩壊,土砂災害警戒区域,大分県,特別警戒区域指定済み,"{""A33_001"": 1, ""A33_002"": 1, ""A33_003"": ""44"", ""A33_004"": ""Ⅱ-1-5454"", ""A33_005"": ""音羽③(C)"", ""A33_006"": ""竹田市"", ""A33_007"": ""2019-03-12"", ""A33_008"": 0, ""layer"": ""A33-24_44Polygon"", ""path"": ""C:\\Users\\kdany\\Python\\DRR\\国土数値情報\\A33-24_44Polygon.geojson"", ""phenomenon_type_ja"": ""急傾斜地の崩壊"", ""zone_type_ja"": ""土砂災害警戒区域"", ""prefecture_ja"": ""大分県"", ""special_warning_status"": ""特別警戒区域指定済み""}","POLYGON ((131.357274 32.942344, 131.357121 32.942292, 131.356943 32.942332, 131.356935 32.942387, 131.35693 32.942422, 131.356924 32.942467, 131.356923 32.942486, 131.356919 32.942538, 131.356917 32.942576, 131.357052 32.942675, 131.357175 32.942711, 131.357292 32.942687, 131.357307 32.942658, 131.357333 32.942604, 131.357358 32.942554, 131.35739 32.942488, 131.357398 32.942471, 131.357274 32.942344))"
1,1,44,Ⅱ-1-5454,音羽③(D),竹田市,2019-03-12,0,急傾斜地の崩壊,土砂災害警戒区域,大分県,特別警戒区域指定済み,"{""A33_001"": 1, ""A33_002"": 1, ""A33_003"": ""44"", ""A33_004"": ""Ⅱ-1-5454"", ""A33_005"": ""音羽③(D)"", ""A33_006"": ""竹田市"", ""A33_007"": ""2019-03-12"", ""A33_008"": 0, ""layer"": ""A33-24_44Polygon"", ""path"": ""C:\\Users\\kdany\\Python\\DRR\\国土数値情報\\A33-24_44Polygon.geojson"", ""phenomenon_type_ja"": ""急傾斜地の崩壊"", ""zone_type_ja"": ""土砂災害警戒区域"", ""prefecture_ja"": ""大分県"", ""special_warning_status"": ""特別警戒区域指定済み""}","POLYGON ((131.357545 32.942615, 131.357646 32.942642, 131.357746 32.942679, 131.357796 32.942543, 131.357862 32.942367, 131.357884 32.942308, 131.357911 32.942241, 131.357951 32.942166, 131.357993 32.942107, 131.358016 32.942063, 131.358022 32.942046, 131.358036 32.942013, 131.358025 32.941966, 131.358023 32.941959, 131.358016 32.941949, 131.35759 32.941929, 131.357509 32.941913, 131.357357 32.941896, 131.357332 32.941878, 131.357287 32.941858, 131.356835 32.941668, 131.356746 32.941705, 131.356733 32.941673, 131.356726 32.941641, 131.356713 32.941647, 131.356624 32.941668, 131.356599 32.941673, 131.356488 32.9417, 131.356274 32.94175, 131.356225 32.941762, 131.356286 32.941898, 131.356425 32.942032, 131.35674 32.942135, 131.356728 32.942186, 131.356831 32.942443, 131.357123 32.942519, 131.357304 32.942536, 131.357553 32.942588, 131.357545 32.942615))"
1,1,44,Ⅱ-1-5455,宇土④,竹田市,2019-03-12,0,急傾斜地の崩壊,土砂災害警戒区域,大分県,特別警戒区域指定済み,"{""A33_001"": 1, ""A33_002"": 1, ""A33_003"": ""44"", ""A33_004"": ""Ⅱ-1-5455"", ""A33_005"": ""宇土④"", ""A33_006"": ""竹田市"", ""A33_007"": ""2019-03-12"", ""A33_008"": 0, ""layer"": ""A33-24_44Polygon"", ""path"": ""C:\\Users\\kdany\\Python\\DRR\\国土数値情報\\A33-24_44Polygon.geojson"", ""phenomenon_type_ja"": ""急傾斜地の崩壊"", ""zone_type_ja"": ""土砂災害警戒区域"", ""prefecture_ja"": ""大分県"", ""special_warning_status"": ""特別警戒区域指定済み""}","POLYGON ((131.352203 32.946233, 131.352243 32.946203, 131.352281 32.946107, 131.352295 32.94599, 131.352306 32.945871, 131.352343 32.945733, 131.352364 32.945677, 131.352312 32.945592, 131.352315 32.945582, 131.352349 32.945511, 131.352352 32.945446, 131.352247 32.945428, 131.352102 32.945404, 131.351879 32.945366, 131.351817 32.945355, 131.351599 32.945455, 131.351591 32.945528, 131.351519 32.945574, 131.351463 32.945751, 131.35146 32.945802, 131.35137 32.945877, 131.351499 32.946034, 131.351486 32.946045, 131.351299 32.946215, 131.351496 32.946262, 131.351587 32.946284, 131.35162 32.946292, 131.351704 32.946303, 131.351791 32.946311, 131.351832 32.946309, 131.351939 32.946304, 131.351933 32.946289, 131.351935 32.946282, 131.352203 32.946233))"
